,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,No_of_fund_curr,AUM,sales_curr,sales_12M_2018,redemption_curr,redemption_12M,new_Fund_added_12M_2018,aum_AC_EQUITY,aum_AC_FIXED_INCOME_MUNI,aum_AC_FIXED_INCOME_TAXABLE,aum_AC_MULTIPLE,aum_P_MF,aum_P_SMA
5370,0.8337574970102687,0.11726120880316702,-0.023657668794108775,0.6887120200792498,0.5910140978149248,0.9059508112499864,0.024525614992136836,-0.08010383249258136,0.028357869936329022,0.04749744307177369,0.06606026362046188,-0.4157776643217589,0.16722413595090305,-0.03408660734458137,-0.05663348967518052,-0.022409919826655706,0.0779661756441634,-0.05619448685599466
9089,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.3734146921143319,-0.10038372165335081,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.03654597971629936,-0.0789598129951342,-0.05828230754175621,-0.022409919826655706,-0.07085269615263252,-0.05619448685599466
3813,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.6932560679554115,-0.09726153616583746,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.029158228935981845,-0.0789598129951342,-0.05828230754175621,-0.022409919826655706,-0.06713287716815751,-0.05619448685599466
1854,0.0390434619127926,-0.01710885423521718,0.713083429883573,1.1096082829830796,0.9972637765544141,2.1853163146143046,0.7444019607386108,-0.0850831945341062,0.15900795942500384,0.07877389392139786,-0.03443912170219711,0.4370902276657272,0.24325943557483842,-0.0669056692500192,2.840528830919277,4.095195338531865,0.852882889103362,0.07840284855663608
5982,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,0.2662680595678273,-0.09044458942678286,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.03027896438275577,-0.07845948442832695,-0.05828230754175621,0.07304906973843703,-0.059011063778945175,-0.05619448685599466
6615,-0.17950289773901332,-0.0977308920582477,-0.023657668794108775,-0.15308050572840992,-0.6277349384035434,-0.053573316273252305,-0.051969434522609034,-0.0850831945341062,-0.015585145548400178,0.09139451153971327,0.15562015665219692,0.4370902276657272,-0.02987544334434173,-0.028885366242355878,-0.04053548476746241,-0.022409919826655706,-0.013171182639419847,-0.05619448685599466
7212,-0.18943682317773178,-0.06637787734929139,-0.20784294346352924,-0.15308050572840992,0.9972637765544141,2.5051576904553845,-0.014502745573781516,-0.0850831945341062,-0.14471836277563477,0.09139451153971327,0.10515087390701429,-0.4157776643217589,0.030644798383719925,-0.0281883399251745,0.037348990688790225,-0.022409919826655706,0.031467196917032765,-0.05619448685599466
3528,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.6932560679554115,-0.097265824116461,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.029158228935981845,-0.0789598129951342,-0.05828230754175621,-0.022469581695133887,-0.06713798589734664,-0.05619448685599466
5159,-0.15963504686157642,-0.0977308920582477,-0.11575030612881901,0.26781575717541994,-0.6277349384035434,0.2662680595678273,-0.08839262495949596,-0.0850831945341062,-0.13862869294812996,0.09139451153971327,0.15562015665219692,0.4370902276657272,-0.01712564364137602,-0.07915258464270646,-0.05828230754175621,0.03254092819275297,-0.05656632229532461,-0.05619448685599466
1561,-0.19937074861645024,-0.0977308920582477,-0.20784294346352924,-0.5739767686322398,-0.6277349384035434,-0.6932560679554115,-0.09726153616583746,-0.0850831945341062,-0.15178292818654557,0.09139451153971327,0.15562015665219692,-0.4157776643217589,-0.029158228935981845,-0.0789598129951342,-0.05828230754175621,-0.022409919826655706,-0.06713287716815751,-0.05619448685599466
