,CONTACT_ID,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,sales_curr,sales_12M,redemption_curr,redemption_12M,new_Fund_added_12M,sales_2019,new_fund_2019,CustomerID,Firm ID,Office ID,Channel,Sub channel,Firm name
4528,0071118,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5601.36,0.0,0.0,0.0,379,1282578,12825780988,Independent Dealer,IBD,Cetera Advisor Networks LLC
4529,10751173133845650455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200433.05,3.0,6073,0033605,00193199573,Independent Dealer,IBD,J.P. Morgan Chase
4530,4489408,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,12185.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,5559,1036815,85102103744022368966,Independent Dealer,IBD,"Woodbury Financial Services, Inc."
4531,00872121366844640161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5846,1246425,12464252191,Independent Dealer,IBD,"AXA Advisors, LLC"
4532,4400487,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-25746.415,0.0,0.0,0.0,3873,1152749,85101120554164614648,Independent Dealer,IBD,Commonwealth Financial Network
4533,4400922,98.0,168.0,30.0,13.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,6.0,3.0,690030.11,370.0,985137.72,-37486.12,-546016.43,1.0,37888.89,0.0,3883,9000166,90001662969,Independent Dealer,NACS,Wells Fargo Advisors
4534,85202160054682609120,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1566.0,0.0,0.0,0.0,9876,0033509,85202160054678808412,Independent Dealer,IBD,"Northwestern Mutual Investment Services, LLC"
4535,85202112284981700517,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,111677.35,0.0,58000.0,0.0,-107357.07,0.0,200000.0,1.0,9376,0001194,85201112093753290409,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
4536,85202112815471206937,35.0,6.0,1.0,0.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,42560.915,67.435,52837.81,-6221.93,-68.14,3.0,22442.565,1.0,9392,0002096,10751200865497224100,Independent Dealer,IBD,"Raymond James Financial Services, Inc."
4537,0186561,19.0,26.0,7.0,8.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,3.0,438411.096238,40008.0,495509.351038,-5132.5025,-308565.1271,0.0,405536.81,1.0,776,1948520,17993101366,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4538,00872121366837014090,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2983.92,0.0,0.0,0.0,5838,1246425,12464252360,Independent Dealer,IBD,"AXA Advisors, LLC"
4539,4306795,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,-75006.5,0.0,0.0,0.0,2241,1948520,17993101005,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4540,4485752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34650.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5484,0022885,10761172103150109452,Independent Dealer,IBD,LPL Financial LLC
4541,0106484,163.0,123.0,15.0,22.0,6.0,11.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,8198138.83061,52514.344707,8361009.424218,-3750.0,-727354.346463,3.0,1954288.934396,1.0,540,1688552,16885521796,National Broker-Dealer,NACS,"UBS Financial Services, Inc."
4542,4388031,0.0,16.0,0.0,15.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,7588200.685,0.0,0.0,-45156.25,-544612.5,0.0,0.0,0.0,3669,1511413,85202111455424376510,Independent Dealer,IBD,Lincoln Financial Advisors Corp.
4543,85201123125019119200,19.0,18.0,4.0,2.0,5.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,15247.48,83116.57,-5142.0,-98292.85,2.0,1329563.78,0.0,8729,0033509,15962200188,Independent Dealer,IBD,"Northwestern Mutual Investment Services, LLC"
4544,0267334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088,1735461,17354610087,Independent Dealer,IBD,Raymond James & Associates Inc.
4545,85102150504933544251,973.0,836.0,63.0,30.0,12.0,13.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,1475409.786339,0.0,2690689.391996,-3.0,-1293525.959939,5.0,53825.43,0.0,8246,0001194,85102151765989159095,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
4546,85201161453672788588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9188,1574035,85101103534732136063,Independent Dealer,IBD,"Securian Financial Services, Inc."
4547,4334267,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,83085.1,0.0,-10532.895,1.0,0.0,0.0,2737,1567450,15674500276,National Broker-Dealer,NACS,Merrill Lynch
4548,4431869,51.0,11.0,13.0,6.0,6.0,6.0,3.0,4.0,3.0,3.0,1.0,2.0,14.0,3.0,4216761.685,7996.75,305225.51,-42134.08,-325306.47,0.0,1397855.38,1.0,4395,1948520,17993101242,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
4549,85101112173353754783,180.0,119.0,5.0,1.0,8.0,8.0,2.0,1.0,3.0,3.0,2.0,1.0,5.0,2.0,1214480.445,21380.11,208234.17,-10861.76,-95379.015,1.0,48852.203828,0.0,7102,0001194,85101161384842429592,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
4550,85101140534814812530,1.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,-9699.0,1.0,71331.35,1.0,7401,0033605,85102140534811298860,Independent Dealer,IBD,J.P. Morgan Chase
4551,85201120455920340264,17.0,26.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,121533.83,0.0,15872.93,-224.61,-9377.93,0.0,0.0,0.0,8650,85201112683918276481,85202141554982899926,Independent Dealer,NACS,Wells Fargo Banking & Investment Services
4552,85201112115222075863,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2250.0,0.0,0.0,0.0,8569,0001194,00011942925,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
4553,0331533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1574,1471422,14714224699,Independent Dealer,IBD,Edward Jones
4554,4492276,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,18488.51,0.0,8019.0,0.0,0.0,1.0,0.0,0.0,5628,0022885,85201161435712296670,Independent Dealer,IBD,LPL Financial LLC
4555,10751190983742143023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21593.28,2.0,6349,1471422,14714222699,Independent Dealer,IBD,Edward Jones
4556,85202110485698633277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9290,1282578,00120000390,Independent Dealer,IBD,Cetera Advisor Networks LLC
4557,0252288,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8793.1,0.0,0.0,0.0,1009,1901181,85102142003525281919,Independent Dealer,IBD,"Avantax Investment Services, Inc."
4558,0021294,3.0,4.0,0.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,0.0,126.98,2577.95,0.0,-158899.63,0.0,2691.95,0.0,83,1948520,19485208290,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
